------------
topic 0
------------
0.02504607 also
0.02484241 reported
0.024089377 one
0.022584114 october
0.021079173 september
0.017316317 air
0.017316215 new
0.015811421 many
0.015755896 national
0.01505895 political
0.013776314 two
0.013554048 day
0.013553568 would
0.013553425 san
0.01129599 known
0.011295924 met
0.010543393 three
0.010542611 time
0.009790804 stated
0.009790588 house
0.009790547 south
0.008285577 led
0.007533145 member
0.0075330217 could
0.007532777 win
0.0075327395 early
0.0073013026 world
0.007034006 due
0.0069963704 large
0.006780694 currently
0.0067805913 joined
0.006780459 alliance
0.006780345 china
0.006780284 made
0.0067801727 several
0.006780048 used
0.0060280208 another
0.006027998 march
0.0060279714 meet
0.0060279393 making
0.006027906 seen
0.0060276994 2007
0.006027652 meeting
0.0054809963 four
0.005467351 event
0.0052755377 moved
0.005275423 central
0.0052753887 total
0.005275225 late
0.005275222 former
------------
topic 1
------------
0.023677535 one
0.02082092 new
0.019352747 village
0.013168221 would
0.0130552715 two
0.011756949 made
0.011455093 world
0.0108635975 time
0.010698524 born
0.010451935 november
0.010351416 family
0.009742831 best
0.009056736 also
0.0083629405 series
0.008272008 story
0.00820184 york
0.008144667 several
0.00805812 found
0.007818188 high
0.0077073704 battle
0.007646957 king
0.0073083793 include
0.0071923877 july
0.0071640103 central
0.0070434944 many
0.007040613 former
0.0070109493 long
0.006824291 october
0.0065425127 known
0.0063209273 life
0.0063166353 old
0.006090298 major
0.0060366145 son
0.006009953 well
0.005983613 four
0.005979125 ice
0.005852555 white
0.005279299 eastern
0.0052501727 played
0.0052499655 took
0.005247952 south
0.005239472 back
0.005206565 joined
0.005169037 english
0.0051596886 member
0.0051224707 january
0.005115986 school
0.004964235 though
0.0048019523 early
0.00475633 house
------------
topic 2
------------
0.021264408 also
0.015895022 university
0.013983721 game
0.012915629 white
0.012600268 one
0.012504826 national
0.011649445 school
0.010889594 member
0.009757016 john
0.0096465675 two
0.009462829 served
0.008472841 born
0.008057851 would
0.007956591 place
0.007902944 house
0.007596725 played
0.007591104 known
0.0071816994 new
0.0067887474 association
0.0066291955 roman
0.006568054 competition
0.006529652 many
0.0063104657 best
0.0061736777 name
0.006166594 musical
0.006115225 team
0.005991233 made
0.005864077 second
0.0056833792 used
0.00555116 st.
0.005475343 time
0.0054010246 home
0.0053814705 missouri
0.005331508 family
0.005151464 games
0.0051302193 received
0.0050204922 theatre
0.0050121606 act
0.0049975854 currently
0.0049629817 son
0.004952053 world
0.0049267965 production
0.0048775477 several
0.004814593 high
0.004764723 early
0.0046379413 show
0.0045262943 young
0.004232752 international
0.004217986 county
0.0042175087 october
------------
topic 3
------------
0.03189847 also
0.026882239 one
0.017881194 new
0.016891206 two
0.012961746 used
0.012031504 known
0.011620318 national
0.0114924405 forest
0.011415341 time
0.01033597 many
0.009006128 service
0.008810677 would
0.008612497 school
0.008524052 game
0.008249114 well
0.008176516 county
0.008029507 born
0.007912665 made
0.00771307 camp
0.007709345 world
0.0076569775 high
0.0074753473 team
0.0073057585 played
0.0069576898 four
0.0068707624 several
0.0068397047 early
0.0067799427 species
0.0065277684 number
0.0062043634 due
0.006100813 different
0.0059130834 university
0.005724475 three
0.0055713216 large
0.005456957 second
0.005238473 show
0.0051178355 another
0.005033116 series
0.0050109755 include
0.00495584 training
0.004938257 life
0.004767524 member
0.0047518425 could
0.004711141 california
0.004374258 august
0.004310058 best
0.004274845 canadian
0.004170286 long
0.0041391216 moved
0.0040758112 found
0.0040448476 based
------------
topic 4
------------
0.018058496 also
0.016712887 many
0.015194112 letters
0.014980348 park
0.014682958 new
0.012156081 used
0.011662924 one
0.010953918 national
0.010334878 two
0.009401447 second
0.0088147195 points
0.008508151 born
0.007937363 team
0.007880624 2002
0.0077536567 south
0.0076008015 speedway
0.007600403 race
0.006988765 built
0.0069209435 men
0.0064634634 school
0.0062410887 made
0.0060822167 standard
0.0060820538 began
0.00581195 john
0.0058035604 four
0.0058003063 st.
0.005709241 figure
0.0055913622 time
0.005580318 several
0.0053703594 former
0.0053228782 motor
0.005322818 racetrack
0.0053227562 drivers
0.0053227535 track
0.005322737 1993
0.0053225392 would
0.0052479333 skating
0.005160637 ontario
0.00510734 high
0.005076925 coliseum
0.0050665755 august
0.005062612 member
0.0049202736 took
0.0047058803 day
0.004697901 name
0.0045856196 top
0.004563643 racing
0.0045635016 cup
0.0045633256 sprint
0.0045632375 jr.
